CRUD_privileges,data_group,description,end_timestamp,location,metric,print_str,short_hand,site,start_timestamp,statistic,unit_str
,ml/novelty-detection/fleetwide,mdl of Accelerations measured using NRT_A01_autoencoder_ACC_Z,3000-01-01T00:00:00Z,NRTA01,mdl_NRT_A01_autoencoder_ACC_Z,autoencoder ACC Z,autoencoder_ACC_Z,norther,2000-01-01T00:00:00Z,mdl,
,scada,,3000-01-01T00:00:00Z,NRTA01,std_NRT_A01_rpm,Rotor speed,rpm,Norther,2000-01-01T00:00:00Z,std,
,scada,,3000-01-01T00:00:00Z,NRTA01,max_NRT_A01_yaw,Yaw,yaw,Norther,2000-01-01T00:00:00Z,max,°
,ml/novelty-detection/fleetwide,mdl of Accelerations measured using NRT_A01_autoencoder_ACC_FA,3000-01-01T00:00:00Z,NRTA01,mdl_NRT_A01_autoencoder_ACC_FA,autoencoder ACC FA,autoencoder_ACC_FA,norther,2000-01-01T00:00:00Z,mdl,
,acceleration,rms of accelerations measured at NRT_A01_NAC_ACC_Z,3000-01-01T00:00:00Z,NRTA01,rms_NRT_A01_NAC_ACC_Z,NAC ACC Z,NAC_ACC_Z,Norther,2000-01-01T00:00:00Z,rms,g
,scada,,3000-01-01T00:00:00Z,NRTA01,max_NRT_A01_windspeed,Wind speed,windspeed,Norther,2000-01-01T00:00:00Z,max,m/s
,scada,,3000-01-01T00:00:00Z,NRTA01,max_NRT_A01_winddirection,Wind direction,winddirection,Norther,2000-01-01T00:00:00Z,max,°
,ml/novelty-detection/fleetwide,mdl of Accelerations measured using NRT_A01_OOD_ACC_Z,3000-01-01T00:00:00Z,NRTA01,mdl_NRT_A01_OOD_ACC_Z,OOD ACC Z,OOD_ACC_Z,norther,2000-01-01T00:00:00Z,mdl,
,acceleration,min of accelerations measured at NRT_A01_NAC_ACC_SS,3000-01-01T00:00:00Z,NRTA01,min_NRT_A01_NAC_ACC_SS,NAC ACC SS,NAC_ACC_SS,Norther,2000-01-01T00:00:00Z,min,g
,scada,,3000-01-01T00:00:00Z,NRTA01,mean_NRT_A01_pitch,Pitch,pitch,Norther,2000-01-01T00:00:00Z,mean,°
,acceleration,std of accelerations measured at NRT_A01_NAC_ACC_Z,3000-01-01T00:00:00Z,NRTA01,std_NRT_A01_NAC_ACC_Z,NAC ACC Z,NAC_ACC_Z,Norther,2000-01-01T00:00:00Z,std,g
,scada,,3000-01-01T00:00:00Z,NRTA01,max_NRT_A01_rpm,Rotor speed,rpm,Norther,2000-01-01T00:00:00Z,max,
,scada,,3000-01-01T00:00:00Z,NRTA01,min_NRT_A01_rpm,Rotor speed,rpm,Norther,2000-01-01T00:00:00Z,min,
,ml/novelty-detection/fleetwide,mdl of Accelerations measured using NRT_A01_autoencoder_ACC_SS,3000-01-01T00:00:00Z,NRTA01,mdl_NRT_A01_autoencoder_ACC_SS,autoencoder ACC SS,autoencoder_ACC_SS,norther,2000-01-01T00:00:00Z,mdl,
,scada,,3000-01-01T00:00:00Z,NRTA01,mean_NRT_A01_windspeed,Wind speed,windspeed,Norther,2000-01-01T00:00:00Z,mean,m/s
,scada,,3000-01-01T00:00:00Z,NRTA01,min_NRT_A01_winddirection,Wind direction,winddirection,Norther,2000-01-01T00:00:00Z,min,°
,acceleration,max of accelerations measured at NRT_A01_NAC_ACC_SS,3000-01-01T00:00:00Z,NRTA01,max_NRT_A01_NAC_ACC_SS,NAC ACC SS,NAC_ACC_SS,Norther,2000-01-01T00:00:00Z,max,g
,scada,,3000-01-01T00:00:00Z,NRTA01,min_NRT_A01_power,Power,power,Norther,2000-01-01T00:00:00Z,min,kW
,acceleration,std of accelerations measured at NRT_A01_NAC_ACC_FA,3000-01-01T00:00:00Z,NRTA01,std_NRT_A01_NAC_ACC_FA,NAC ACC FA,NAC_ACC_FA,Norther,2000-01-01T00:00:00Z,std,g
,acceleration,max of accelerations measured at NRT_A01_NAC_ACC_FA,3000-01-01T00:00:00Z,NRTA01,max_NRT_A01_NAC_ACC_FA,NAC ACC FA,NAC_ACC_FA,Norther,2000-01-01T00:00:00Z,max,g
,scada,,3000-01-01T00:00:00Z,NRTA01,mean_NRT_A01_power,Power,power,Norther,2000-01-01T00:00:00Z,mean,kW
